CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter_Max,Cycle,Generation,Local_Best_Obj
20200302092512,MDG-b_10_n500_m50,0,505.486s,500,50,1583081469,1500,10,51,1148.45
20200302093340,MDG-b_10_n500_m50,1,507.881s,500,50,1583080224,1500,10,55,1072.57
20200302094210,MDG-b_10_n500_m50,2,505.748s,500,50,1583082078,1500,10,52,1123.24
20200302095037,MDG-b_10_n500_m50,3,505.926s,500,50,1583099975,1500,10,49,1112.29
20200302095905,MDG-b_10_n500_m50,4,505.885s,500,50,1583104396,1500,10,53,1104.34
20200302100732,MDG-b_11_n500_m50,0,509.013s,500,50,1583088845,1500,10,54,1067.59
20200302101603,MDG-b_11_n500_m50,1,502.232s,500,50,1583099876,1500,10,51,1078.17
20200302102427,MDG-b_11_n500_m50,2,521.162s,500,50,1583100797,1500,10,54,1110.29
20200302103310,MDG-b_11_n500_m50,3,501.354s,500,50,1583104858,1500,10,51,1138.23
20200302104133,MDG-b_11_n500_m50,4,506.802s,500,50,1583091363,1500,10,55,1083.11
20200302105001,MDG-b_12_n500_m50,0,504.054s,500,50,1583095615,1500,10,54,1073.03
20200302105827,MDG-b_12_n500_m50,1,504.815s,500,50,1583109017,1500,10,55,1092.05
20200302110653,MDG-b_12_n500_m50,2,506.782s,500,50,1583095460,1500,10,51,1089.78
20200302111522,MDG-b_12_n500_m50,3,507.301s,500,50,1583117747,1500,10,55,1109.04
20200302112351,MDG-b_12_n500_m50,4,504.588s,500,50,1583087151,1500,10,58,1132.84
20200302113217,MDG-b_14_n500_m50,0,504.014s,500,50,1583102521,1500,10,56,1139.31
20200302114043,MDG-b_14_n500_m50,1,503.173s,500,50,1583101631,1500,10,55,986.54
20200302114907,MDG-b_14_n500_m50,2,500.208s,500,50,1583106513,1500,10,52,1048.35
20200302115729,MDG-b_14_n500_m50,3,502.741s,500,50,1583091517,1500,10,51,1044.52
20200302120554,MDG-b_14_n500_m50,4,500.975s,500,50,1583111222,1500,10,56,1145.12
20200302121416,MDG-b_16_n500_m50,0,509.291s,500,50,1583109281,1500,10,54,1132.67
20200302122247,MDG-b_16_n500_m50,1,501.253s,500,50,1583122380,1500,10,50,1117.16
20200302123110,MDG-b_16_n500_m50,2,509.516s,500,50,1583100783,1500,10,53,1151.85
20200302123941,MDG-b_16_n500_m50,3,507.508s,500,50,1583117046,1500,10,55,1043.84
20200302124810,MDG-b_16_n500_m50,4,503.783s,500,50,1583122115,1500,10,56,1083.68
20200302125636,MDG-b_20_n500_m50,0,507.064s,500,50,1583097573,1500,10,55,1101.61
20200302130504,MDG-b_20_n500_m50,1,500.901s,500,50,1583099870,1500,10,55,1090.54
20200302131327,MDG-b_20_n500_m50,2,500.068s,500,50,1583117884,1500,10,55,1119.37
20200302132149,MDG-b_20_n500_m50,3,503.413s,500,50,1583107691,1500,10,58,1126.62
20200302133014,MDG-b_20_n500_m50,4,504.58s,500,50,1583105191,1500,10,53,1154.34
20200302133840,MDG-b_1_n500_m50,0,501.481s,500,50,1583104475,1500,10,54,1129.57
20200302134703,MDG-b_1_n500_m50,1,505.32s,500,50,1583101409,1500,10,54,1126.82
20200302135530,MDG-b_1_n500_m50,2,508.678s,500,50,1583100984,1500,10,52,1115.68
20200302140400,MDG-b_1_n500_m50,3,500.16s,500,50,1583106779,1500,10,56,1110.42
20200302141222,MDG-b_1_n500_m50,4,502.535s,500,50,1583106646,1500,10,55,1086.28
20200302142046,MDG-b_5_n500_m50,0,506.868s,500,50,1583124918,1500,10,52,999.23
20200302142915,MDG-b_5_n500_m50,1,500.562s,500,50,1583129013,1500,10,54,1119.73
20200302143737,MDG-b_5_n500_m50,2,505.95s,500,50,1583130609,1500,10,55,1102.85
20200302144605,MDG-b_5_n500_m50,3,500.091s,500,50,1583110956,1500,10,53,1088.63
20200302145426,MDG-b_5_n500_m50,4,506.509s,500,50,1583124185,1500,10,55,1095.53
20200302150255,MDG-a_1_n500_m50,0,507.495s,500,50,1583112830,1500,10,54,11.23
20200302151124,MDG-a_1_n500_m50,1,503.124s,500,50,1583117789,1500,10,56,11.32
20200302151949,MDG-a_1_n500_m50,2,501.793s,500,50,1583111517,1500,10,53,10.75
20200302152812,MDG-a_1_n500_m50,3,504.187s,500,50,1583117085,1500,10,55,11.17
20200302153638,MDG-a_1_n500_m50,4,502.108s,500,50,1583126752,1500,10,54,10.88
20200302154501,MDG-a_8_n500_m50,0,508.865s,500,50,1583127224,1500,10,56,10.61
20200302155332,MDG-a_8_n500_m50,1,501.07s,500,50,1583128853,1500,10,54,10.25
20200302160155,MDG-a_8_n500_m50,2,508.905s,500,50,1583108739,1500,10,54,11.12
20200302161025,MDG-a_8_n500_m50,3,506.781s,500,50,1583109609,1500,10,52,11.46
20200302161854,MDG-a_8_n500_m50,4,504.675s,500,50,1583125626,1500,10,57,11.25
20200302162720,MDG-a_9_n500_m50,0,506.775s,500,50,1583135714,1500,10,55,11.53
20200302163548,MDG-a_9_n500_m50,1,500.939s,500,50,1583124336,1500,10,53,10.97
20200302164411,MDG-a_9_n500_m50,2,500.072s,500,50,1583137116,1500,10,54,10.5
20200302165233,MDG-a_9_n500_m50,3,506.102s,500,50,1583110931,1500,10,55,10.68
20200302170100,MDG-a_9_n500_m50,4,503.17s,500,50,1583137321,1500,10,55,11.19
20200302170925,MDG-a_14_n500_m50,0,500.223s,500,50,1583137389,1500,10,52,11.43
20200302171747,MDG-a_14_n500_m50,1,512.714s,500,50,1583131145,1500,10,55,10.69
20200302172621,MDG-a_14_n500_m50,2,506.224s,500,50,1583137168,1500,10,53,11.57
20200302173449,MDG-a_14_n500_m50,3,507.233s,500,50,1583135353,1500,10,51,11.6
20200302174318,MDG-a_14_n500_m50,4,506.13s,500,50,1583110489,1500,10,55,11.24
20200302175146,MDG-a_17_n500_m50,0,502.271s,500,50,1583124144,1500,10,55,11.09
20200302180010,MDG-a_17_n500_m50,1,506.435s,500,50,1583131541,1500,10,54,10.8
20200302180838,MDG-a_17_n500_m50,2,522.584s,500,50,1583124937,1500,10,52,11.45
20200302181722,MDG-a_17_n500_m50,3,502.806s,500,50,1583132655,1500,10,55,11.5
20200302182547,MDG-a_17_n500_m50,4,501.53s,500,50,1583142238,1500,10,55,11.23
20200302183410,MDG-c_1_n3000_m300,0,
