CurrentTime,Instance,Number,Spend_time,nb_nodes,nb_sub_nodes,Seed,Iter,Generation,Local_Best_Obj
20200227121932,MDG-a_6_n500_m50,4,753.296s,500,50,1582764059,1500,98,11.04
20200227123207,MDG-a_7_n500_m50,0,754.825s,500,50,1582766843,1500,98,11.22
20200227124443,MDG-a_7_n500_m50,1,754.77s,500,50,1582746114,1500,98,11.42
20200227125719,MDG-a_7_n500_m50,2,755.037s,500,50,1582756884,1500,99,10.92
20200227130955,MDG-a_7_n500_m50,3,753.96s,500,50,1582776079,1500,100,11.18
20200227132230,MDG-a_7_n500_m50,4,752.223s,500,50,1582780161,1500,118,11.04
20200227133503,MDG-a_8_n500_m50,0,757.909s,500,50,1582766857,1500,90,10.94
20200227134743,MDG-a_8_n500_m50,1,756.07s,500,50,1582769349,1500,87,10.67
20200227140020,MDG-a_8_n500_m50,2,755.637s,500,50,1582752859,1500,90,11.31
20200227141257,MDG-a_8_n500_m50,3,752.187s,500,50,1582769790,1500,96,10.52
20200227142531,MDG-a_8_n500_m50,4,754.285s,500,50,1582770620,1500,98,10.94
20200227143806,MDG-a_9_n500_m50,0,756.707s,500,50,1582755425,1500,99,10.63
20200227145044,MDG-a_9_n500_m50,1,756.246s,500,50,1582766016,1500,97,11.08
20200227150321,MDG-a_9_n500_m50,2,752.82s,500,50,1582770517,1500,96,11.03
20200227151555,MDG-a_9_n500_m50,3,753.32s,500,50,1582772963,1500,100,10.87
20200227152830,MDG-a_9_n500_m50,4,753.277s,500,50,1582767066,1500,90,10.41
20200227154105,MDG-a_10_n500_m50,0,753.517s,500,50,1582762458,1500,92,11.03
20200227155339,MDG-a_10_n500_m50,1,754.201s,500,50,1582786376,1500,92,11.06
20200227160615,MDG-a_10_n500_m50,2,754.905s,500,50,1582785913,1500,94,10.7
20200227161852,MDG-a_10_n500_m50,3,755.448s,500,50,1582778900,1500,97,10.66
20200227163128,MDG-a_10_n500_m50,4,755.072s,500,50,1582762353,1500,98,11.12
20200227164405,MDG-a_12_n500_m50,0,752.402s,500,50,1582780576,1500,93,10.57
20200227165638,MDG-a_12_n500_m50,1,750.042s,500,50,1582766575,1500,96,10.86
20200227170910,MDG-a_12_n500_m50,2,757.774s,500,50,1582779025,1500,97,11.11
20200227172149,MDG-a_12_n500_m50,3,757.976s,500,50,1582766530,1500,95,10.96
20200227173428,MDG-a_12_n500_m50,4,757.799s,500,50,1582785280,1500,93,11.51
20200227174707,MDG-a_13_n500_m50,0,756.226s,500,50,1582789915,1500,94,11.46
20200227175944,MDG-a_13_n500_m50,1,754.472s,500,50,1582770623,1500,94,11.6
20200227181220,MDG-a_13_n500_m50,2,755.748s,500,50,1582779253,1500,100,11.12
20200227182457,MDG-a_13_n500_m50,3,756.558s,500,50,1582793543,1500,98,11.34
20200227183735,MDG-a_13_n500_m50,4,751.863s,500,50,1582788996,1500,97,11.34
20200227185008,MDG-a_16_n500_m50,0,753.68s,500,50,1582777348,1500,98,11.12
20200227190242,MDG-a_16_n500_m50,1,752.186s,500,50,1582789319,1500,90,10.95
20200227191516,MDG-a_16_n500_m50,2,750.418s,500,50,1582786597,1500,90,11
20200227192748,MDG-a_16_n500_m50,3,754.706s,500,50,1582792366,1500,93,11.37
20200227194024,MDG-a_16_n500_m50,4,751.19s,500,50,1582793243,1500,94,11.22
20200227195256,MDG-a_17_n500_m50,0,756.872s,500,50,1582783115,1500,92,10.76
20200227200535,MDG-a_17_n500_m50,1,752.054s,500,50,1582803207,1500,91,10.78
20200227201808,MDG-a_17_n500_m50,2,750.818s,500,50,1582794754,1500,91,10.18
20200227203040,MDG-a_17_n500_m50,3,753.304s,500,50,1582797699,1500,91,11.07
20200227204315,MDG-a_17_n500_m50,4,757.288s,500,50,1582805639,1500,90,10.94
20200227205554,MDG-a_20_n500_m50,0,751.515s,500,50,1582785417,1500,91,10.85
20200227210827,MDG-a_20_n500_m50,1,752.831s,500,50,1582786125,1500,95,11.46
20200227212101,MDG-a_20_n500_m50,2,757.001s,500,50,1582798368,1500,97,10.92
20200227213339,MDG-a_20_n500_m50,3,751.955s,500,50,1582783524,1500,96,10.02
20200227214612,MDG-a_20_n500_m50,4,751.406s,500,50,1582798152,1500,88,11.47
20200227220746,MDG-a_1_n500_m50,0,20200227220852,MDG-a_1_n500_m50,0,755.34s,500,50,1582801613,1600,87,10.86
20200227222130,MDG-a_1_n500_m50,1,753.237s,500,50,1582795510,1600,92,10.88
20200227223404,MDG-a_1_n500_m50,2,753.629s,500,50,1582803077,1600,92,10.83
20200227224639,MDG-a_1_n500_m50,3,20200227225314,MDG-a_1_n500_m50,0,750.032s,500,50,1582803232,1600,91,11.02
20200227230545,MDG-a_1_n500_m50,1,757.191s,500,50,1582801118,1600,94,11.03
20200227231823,MDG-a_1_n500_m50,2,750.972s,500,50,1582787445,1600,94,11.29
20200227233055,MDG-a_1_n500_m50,3,752.636s,500,50,1582787413,1600,95,11.45
20200227234329,MDG-a_1_n500_m50,4,758.056s,500,50,1582794208,1600,95,11.38
20200227235608,MDG-a_1_n500_m50,5,752.357s,500,50,1582798487,1600,95,11.4
20200228000842,MDG-a_1_n500_m50,6,755.964s,500,50,1582796021,1600,95,10.64
20200228002119,MDG-a_3_n500_m50,0,753.586s,500,50,1582811587,1600,95,11.08
20200228003354,MDG-a_3_n500_m50,1,751.804s,500,50,1582816103,1600,94,10.91
20200228004626,MDG-a_3_n500_m50,2,757.266s,500,50,1582813482,1600,95,10.88
20200228005905,MDG-a_3_n500_m50,3,752.817s,500,50,1582800998,1600,95,11.06
20200228011139,MDG-a_3_n500_m50,4,755.847s,500,50,1582799261,1600,95,11.52
20200228012416,MDG-a_3_n500_m50,5,753.749s,500,50,1582814020,1600,95,11.16
20200228013650,MDG-a_3_n500_m50,6,755.994s,500,50,1582803175,1600,95,11.03
20200228014928,MDG-a_5_n500_m50,0,751.469s,500,50,1582816000,1600,94,10.84
20200228020200,MDG-a_5_n500_m50,1,754.029s,500,50,1582798402,1600,95,10.71
20200228021435,MDG-a_5_n500_m50,2,753.632s,500,50,1582799817,1600,95,11.41
20200228022710,MDG-a_5_n500_m50,3,753.345s,500,50,1582802097,1600,95,10.8
20200228023944,MDG-a_5_n500_m50,4,754.477s,500,50,1582806862,1600,95,11.16
20200228025220,MDG-a_5_n500_m50,5,755.613s,500,50,1582812239,1600,95,10.68
20200228030457,MDG-a_5_n500_m50,6,758.023s,500,50,1582825882,1600,95,10.91
20200228031736,MDG-a_6_n500_m50,0,756.438s,500,50,1582827086,1600,95,10.91
20200228033013,MDG-a_6_n500_m50,1,750.268s,500,50,1582815732,1600,94,10.72
20200228034245,MDG-a_6_n500_m50,2,755.028s,500,50,1582821360,1600,95,10.75
